Census Tract,Loan Amount
21111007501,525000
21111010313,325000
21111010320,405000
21111007501,105000
21111007601,245000
21111010317,435000
21111010702,205000
21111012503,125000
21111011004,195000
21111010701,395000
21111012103,115000
21111006300,155000
21111011604,275000
21111011706,135000
21111010309,135000
21111011114,195000
21111011603,185000
21111006500,155000
21111011709,305000
21111011709,255000
21111010705,145000
21111011517,275000
21111011110,165000
21111010312,155000
21111009300,215000
21111010102,265000
21111011709,225000
21111012003,185000
21111012203,225000
21111011106,185000
21111007502,475000
21111012203,335000
21111010406,585000
21111012203,175000
21111012202,145000
21111007501,195000
21111010405,165000
21111007502,545000
21111008700,385000
21111010307,245000
21111011102,295000
21111011604,355000
21111011514,105000
21111011601,395000
21111012406,155000
21111011601,405000
21111010316,245000
21111011601,285000
21111011707,145000
21111011505,125000
21111011102,245000
21111012410,245000
21111011114,255000
21111004600,115000
21111011709,255000
21111012406,115000
21111010005,235000
21111012107,135000
21111011713,135000
21111011709,175000
21111011601,435000
21111012601,105000
21111006400,195000
21111011708,245000
21111011518,305000
21111012501,135000
21111011004,235000
21111008500,365000
21111011709,335000
21111010307,565000
21111012001,85000
21111012104,105000
21111011710,155000
21111010005,185000
21111012411,275000
21111006600,295000
21111011601,485000
21111011513,65000
21111010005,185000
21111009000,135000
21111003800,115000
21111012411,265000
21111010800,205000
21111011406,175000
21111010800,195000
21111010314,315000
21111010307,415000
21111010311,235000
21111011002,225000
21111012202,235000
21111012502,165000
21111010313,375000
21111010902,105000
21111005200,315000
21111012103,175000
21111011302,45000
21111011711,165000
21111011112,175000
21111011517,185000
21111009900,185000
21111010402,255000
21111008200,125000
21111011111,185000
21111012001,105000
21111011505,185000
21111007000,215000
21111011519,305000
21111011711,155000
21111005200,145000
21111009600,75000
21111009600,75000
21111009600,225000
21111009300,175000
21111011508,195000
21111011520,355000
21111011114,195000
21111011517,155000
21111010001,35000
21111008900,55000
21111005200,45000
21111005100,185000
21111010312,75000
21111011603,115000
21111011509,135000
21111011708,305000
21111006600,295000
21111011709,325000
21111008500,285000
21111011709,225000
21111012107,135000
21111010311,255000
21111007400,125000
21111012703,155000
21111011506,165000
21111012502,85000
21111012001,205000
21111011508,105000
21111012411,235000
21111001400,115000
21111010602,395000
21111011601,305000
21111011003,215000
21111012407,215000
21111011515,215000
21111004301,125000
21111011907,125000
21111010307,315000
21111012703,105000
21111011603,335000
21111012106,235000
21111004500,85000
21111011709,175000
21111011102,265000
21111012105,165000
21111011520,355000
21111008100,295000
21111010314,305000
21111011519,205000
21111001400,95000
21111006600,225000
21111010103,225000
21111012106,175000
21111002700,95000
21111010005,175000
21111002700,185000
21111008100,205000
21111010005,75000
21111012703,45000
21111011708,45000
21111010307,545000
21111012604,35000
21111012703,85000
21111012406,125000
21111011515,145000
21111011906,115000
21111011517,515000
21111007000,135000
21111010006,195000
21111000800,85000
21111010316,225000
21111012406,95000
21111011517,125000
21111007900,395000
21111010311,105000
21111010311,395000
21111007900,395000
21111011907,105000
21111012106,165000
21111011509,135000
21111011514,195000
21111011601,265000
21111011109,205000
21111007501,245000
21111004900,245000
21111011004,235000
21111010316,485000
21111007800,405000
21111010008,225000
21111012106,185000
21111012410,195000
21111010312,275000
21111010307,195000
21111012106,225000
21111006600,175000
21111011506,145000
21111011513,175000
21111011709,485000
21111006600,165000
21111011709,275000
21111010311,135000
21111011706,175000
21111010311,255000
21111012701,165000
21111010311,275000
21111011102,145000
21111011713,145000
21111011106,215000
21111011505,245000
21111011708,205000
21111011519,235000
21111010103,325000
21111012202,145000
21111012502,165000
21111012104,195000
21111003800,105000
21111011404,105000
21111010406,225000
21111012204,255000
21111010800,235000
21111010320,215000
21111012203,235000
21111012003,445000
21111012601,105000
21111011709,215000
21111011711,205000
21111011505,195000
21111010314,365000
21111011004,195000
21111012302,395000
21111011506,165000
21111012604,105000
21111011517,265000
21111010706,325000
21111010307,295000
21111010006,175000
21111010007,225000
21111012203,235000
21111010307,275000
21111010800,225000
21111010307,565000
21111011003,185000
21111012502,125000
21111008800,415000
21111011111,205000
21111011519,235000
21111011603,265000
21111011601,255000
21111011517,205000
21111008100,175000
21111011519,215000
21111008200,595000
21111006800,125000
21111010311,255000
21111011708,475000
21111011708,185000
21111011601,225000
21111010706,195000
21111011709,345000
21111010402,375000
21111005100,655000
21111011004,325000
21111011800,95000
21111010402,315000
21111010402,215000
21111009106,175000
21111006300,145000
21111012503,175000
21111011707,175000
21111010314,355000
21111011709,225000
21111012103,245000
21111012603,185000
21111012502,105000
21111007800,315000
21111010314,295000
21111011709,225000
21111011518,395000
21111011708,295000
21111012603,145000
21111011707,135000
21111011111,205000
21111011506,175000
21111012107,145000
21111011106,245000
21111011102,185000
21111000800,115000
21111010706,225000
21111010706,215000
21111011003,145000
21111012204,405000
21111010402,475000
21111012103,305000
21111010902,165000
21111011301,135000
21111012604,145000
21111004500,115000
21111000400,145000
21111010403,345000
21111009300,85000
21111011106,75000
21111011508,235000
21111011405,205000
21111010001,235000
21111012003,125000
21111010312,685000
21111011711,215000
21111011706,175000
21111012302,165000
21111011506,165000
21111011706,85000
21111012603,85000
21111011604,655000
21111011005,145000
21111011106,135000
21111011005,145000
21111011707,95000
21111009106,145000
21111011405,85000
21111011707,115000
21111011005,95000
21111012502,125000
21111012411,135000
21111011111,155000
21111011712,135000
21111011112,195000
21111012703,125000
21111011114,175000
21111000400,25000
21111010008,215000
21111010901,65000
21111012502,115000
21111010702,215000
21111011520,235000
21111011106,95000
21111007502,235000
21111011709,405000
21111012603,95000
21111011708,235000
21111012604,235000
21111012406,105000
21111012604,95000
21111011708,475000
21111012409,65000
21111011004,195000
21111012601,165000
21111012502,125000
21111009300,215000
21111012502,175000
21111011710,95000
21111009800,255000
21111011110,285000
21111011707,75000
21111012801,105000
21111011519,255000
21111012501,155000
21111011905,135000
21111012703,165000
21111011713,85000
21111012411,135000
21111004500,125000
21111010313,245000
21111004600,145000
21111012001,95000
21111011601,385000
21111009000,85000
21111012104,135000
21111011515,135000
21111007100,105000
21111012703,95000
21111010902,105000
21111011708,305000
21111010405,105000
21111011519,205000
21111011708,295000
21111012703,115000
21111010311,275000
21111011711,195000
21111012302,135000
21111011708,355000
21111012202,155000
21111011711,245000
21111011005,85000
21111012104,295000
21111008800,225000
21111011114,255000
21111011505,165000
21111012202,125000
21111012601,105000
21111009106,245000
21111011520,165000
21111009400,185000
21111011711,235000
21111011601,365000
21111012409,55000
21111011110,185000
21111009700,185000
21111011708,185000
21111011709,205000
21111011506,255000
21111011003,175000
21111012501,125000
21111011708,255000
21111011708,265000
21111011709,265000
21111003900,125000
21111005000,225000
21111011003,225000
21111010307,335000
21111008200,595000
21111012106,205000
21111013100,155000
21111009400,165000
21111011516,255000
21111012411,195000
21111011505,205000
21111009900,375000
21111011112,245000
21111010311,325000
21111012701,185000
21111010602,215000
21111011505,225000
21111011111,255000
21111010316,325000
21111012502,195000
21111011519,205000
21111010318,405000
21111012003,145000
21111012503,145000
21111012702,195000
21111004100,145000
21111011707,205000
21111010315,435000
21111004500,95000
21111012703,195000
21111012408,135000
21111012603,135000
21111011405,125000
21111011302,145000
21111012001,245000
21111011601,685000
21111003800,115000
21111012409,135000
21111011109,245000
21111011112,155000
21111000300,115000
21111011505,175000
21111007502,185000
21111011102,255000
21111012407,175000
21111012204,185000
21111007601,365000
21111011907,185000
21111012106,275000
21111011111,135000
21111011707,155000
